CSVC1,CSVC2,CSVC3,CSVC4,GV1,GV2,GV3,GV4,CT1,CT2,CT3,CT4,NV1,NV2,NV3,NV4,HP1,HP2,HP3,HP4,HL1,HL2,HL3,HL4,TT1,TT2,TT3,TT4
5,3,4,2,5,5,5,5,3,3,3,2,5,5,5,5,3,3,3,3,4,4,3,4,3,2,4,3
4,3,2,3,4,4,5,4,5,4,5,5,4,4,5,5,3,2,2,2,4,5,4,5,4,3,4,4
3,5,5,5,4,4,5,4,2,3,2,4,3,3,3,3,3,4,4,4,3,2,3,4,3,3,3,3
3,3,4,5,4,4,4,4,3,4,4,3,4,5,5,4,4,3,4,2,5,4,4,4,2,2,3,3
4,5,3,3,4,4,3,4,4,5,4,4,2,2,2,2,5,4,4,4,3,3,3,4,2,3,3,3
2,4,4,4,5,3,3,4,4,4,5,5,3,2,3,4,2,2,2,2,4,4,3,2,3,2,2,2
4,4,3,5,5,5,4,5,3,3,3,4,3,2,3,2,4,4,3,5,4,4,4,5,3,3,4,4
4,5,4,4,5,3,4,4,4,4,5,5,3,3,3,4,2,2,2,3,5,5,4,4,2,4,2,4
5,4,5,4,5,4,4,5,4,3,4,4,4,5,4,5,4,5,5,4,4,3,3,4,2,3,2,3
3,4,4,4,3,3,3,3,5,5,5,5,3,3,3,3,3,2,3,3,3,5,5,4,3,3,4,3
3,4,3,4,4,4,4,4,4,3,4,4,4,5,5,5,3,3,3,3,5,4,4,3,4,2,2,3
4,4,3,4,3,4,3,5,3,3,4,3,3,4,5,3,3,3,3,3,3,3,3,4,3,2,2,4
3,2,2,1,4,4,5,5,4,3,3,2,4,4,4,3,3,4,4,3,2,3,2,3,3,2,2,1
4,2,5,5,3,3,3,3,4,5,4,5,4,5,5,4,3,3,4,4,4,4,4,4,3,4,3,4
3,2,2,3,4,3,3,3,5,5,5,5,4,2,3,3,4,4,3,3,4,4,5,4,2,3,3,2
3,3,3,4,2,3,4,2,4,4,4,5,4,4,4,5,4,5,4,4,3,2,3,3,3,3,2,3
4,2,3,3,5,5,4,5,4,3,4,3,4,4,4,3,2,2,3,3,4,5,4,3,4,3,3,3
2,4,5,4,3,2,3,4,5,4,4,4,3,3,2,2,2,3,2,2,4,4,4,3,3,3,2,3
4,5,5,4,3,3,4,3,3,3,5,3,4,3,3,4,2,2,2,4,3,4,4,4,3,4,4,3
4,4,3,3,2,3,2,2,4,4,3,3,3,4,2,2,2,3,3,2,2,3,3,1,4,2,2,2
4,5,4,3,4,4,4,5,3,4,3,5,3,3,3,3,3,3,3,2,4,4,4,4,3,2,3,2
3,2,3,3,4,5,5,4,1,2,1,1,3,4,4,3,5,4,4,4,3,3,2,3,2,2,1,1
3,2,3,2,3,2,4,3,4,5,5,5,4,3,4,4,2,3,2,3,3,3,3,2,3,3,3,4
2,3,3,2,5,4,4,5,3,4,5,5,1,1,2,1,2,3,3,2,3,4,3,4,2,2,3,4
5,4,5,5,4,4,3,4,5,5,4,4,3,2,5,4,1,1,3,2,5,5,5,5,5,4,4,4
5,4,4,3,5,4,5,5,4,5,3,4,4,4,3,3,3,3,2,4,3,3,4,4,2,3,3,2
3,4,3,3,4,4,4,5,4,4,3,3,3,3,4,3,4,4,4,4,3,3,3,3,3,2,2,3
3,4,4,4,4,4,4,5,5,5,5,5,3,2,3,3,4,4,4,4,4,4,4,4,4,3,4,3
4,3,3,3,4,4,4,4,5,4,4,3,5,4,4,4,5,3,4,3,5,3,5,5,3,4,4,3
4,4,4,2,5,5,4,4,4,3,3,3,1,2,1,2,1,1,1,2,4,2,4,2,4,3,2,3
4,4,4,4,3,2,2,4,5,5,4,5,3,3,2,2,4,3,4,4,3,4,4,4,3,4,3,2
4,3,5,4,5,3,4,5,3,3,3,2,4,3,3,3,3,2,2,4,4,5,4,4,4,4,4,4
4,3,4,4,4,5,5,5,3,3,3,3,2,3,4,4,3,5,3,3,5,5,4,5,4,2,3,3
5,5,5,5,3,2,4,3,3,3,3,2,3,4,4,4,3,4,3,4,4,3,4,4,2,3,4,2
4,4,5,4,5,4,5,4,3,2,2,4,5,4,5,5,1,2,2,2,4,4,4,3,3,3,3,4
3,4,3,2,3,3,3,4,5,5,5,5,4,4,3,3,5,5,5,5,3,4,4,3,2,2,3,3
4,3,3,3,4,5,4,3,3,2,3,3,3,3,4,3,3,2,2,2,3,3,4,4,3,2,3,3
4,3,3,3,4,2,3,3,1,3,2,3,3,3,2,3,4,4,3,4,2,2,1,3,1,1,2,2
4,3,4,4,4,5,2,4,3,2,3,2,2,3,3,2,2,2,2,1,2,3,2,2,2,3,3,3
3,1,1,2,4,2,3,4,5,5,4,4,2,4,3,3,2,3,3,1,3,3,2,3,3,3,3,3
5,4,4,4,3,4,5,4,2,3,5,4,4,3,5,4,3,3,4,2,4,2,3,4,4,3,4,3
4,4,3,4,4,4,4,3,2,2,3,2,2,1,2,2,1,2,2,2,5,4,5,4,3,3,3,5
4,4,5,3,4,4,4,5,4,4,3,4,1,1,1,1,2,3,3,4,3,4,3,3,3,2,3,2
4,2,4,4,4,5,5,3,4,4,4,3,2,3,3,4,3,3,3,3,3,3,4,3,2,2,2,3
4,4,4,4,4,5,5,4,4,4,5,4,3,3,3,3,3,3,2,2,4,4,3,4,3,3,3,5
3,2,2,2,4,5,5,5,5,5,5,5,3,3,4,3,5,4,5,4,4,4,4,5,2,1,4,3
3,4,3,3,4,4,4,3,4,3,3,3,5,3,5,4,1,1,3,3,4,4,3,4,2,3,4,4
3,3,2,3,4,4,5,4,5,4,4,5,3,3,4,4,3,3,3,3,4,4,5,4,4,4,3,4
3,3,5,2,3,4,5,4,4,4,4,4,4,2,4,4,3,3,2,2,4,4,4,5,4,3,5,4
3,3,3,3,5,4,5,4,4,4,4,4,3,3,4,3,2,3,1,2,2,4,3,4,2,2,2,2
3,4,4,4,5,4,4,5,4,3,2,3,3,4,3,3,1,2,1,2,3,3,3,3,3,3,3,3
4,4,2,3,4,4,4,4,4,5,4,4,2,3,2,4,3,3,3,4,4,4,4,5,3,3,4,3
4,4,3,3,5,5,5,5,5,4,5,5,2,3,3,1,3,3,2,2,5,4,4,4,4,4,4,4
3,1,1,1,5,3,5,4,5,4,5,5,1,1,1,2,4,4,4,4,4,4,4,4,5,5,5,4
4,3,3,4,3,3,4,5,2,3,3,3,3,3,2,3,2,3,3,2,3,3,3,2,3,2,4,3
4,5,5,5,5,5,5,5,2,3,2,3,1,1,1,1,4,3,3,3,4,4,3,4,3,3,3,2
3,1,2,3,5,4,4,5,3,2,3,4,3,4,3,5,4,5,4,4,4,4,4,4,3,3,3,3
4,2,3,3,5,4,5,5,4,3,3,4,5,5,5,4,5,4,4,5,3,3,3,3,2,3,2,2
4,3,4,2,5,4,5,4,5,4,5,4,2,2,2,2,3,2,4,3,4,4,5,5,3,3,2,3
3,3,2,4,4,4,4,4,4,5,4,4,2,3,2,3,4,4,3,3,4,5,5,4,5,4,3,4
5,5,5,5,3,4,2,4,4,4,5,4,4,4,3,3,4,4,4,5,4,5,4,4,4,3,4,4
5,4,4,5,2,4,3,4,4,5,5,5,3,4,5,4,4,5,3,4,3,4,4,5,4,3,4,3
3,3,3,3,5,4,4,4,4,3,3,4,3,4,4,3,1,2,1,2,4,3,4,3,3,3,2,3
4,5,5,5,4,4,3,4,2,3,3,4,2,2,2,2,4,3,4,4,4,4,4,3,3,3,4,4
3,5,4,5,4,3,3,3,3,3,3,3,5,5,5,5,3,3,4,3,5,5,4,4,3,3,2,3
3,4,3,3,5,5,5,5,5,4,4,4,3,2,2,2,3,3,3,4,3,4,4,3,2,3,2,3
4,3,3,3,5,5,5,5,5,4,4,4,4,4,5,4,3,4,5,4,4,5,5,5,4,4,4,4
1,2,1,1,5,4,4,4,3,3,3,3,3,2,3,2,3,4,3,2,3,2,4,4,4,4,4,4
4,4,4,4,5,3,5,5,3,3,3,3,5,3,5,4,5,4,4,4,4,3,3,4,3,1,3,3
2,3,2,3,4,5,4,3,4,5,5,4,1,2,1,2,2,1,2,1,3,2,2,3,2,2,2,3
3,1,3,4,2,2,4,3,4,5,4,4,3,2,3,4,4,4,4,4,2,4,3,3,4,2,3,4
5,5,5,4,3,3,3,4,5,3,5,4,3,2,2,3,5,4,3,3,4,4,4,4,2,3,3,3
4,4,3,4,5,5,4,5,5,4,4,5,3,4,4,3,3,4,4,3,5,5,5,5,4,4,3,5
3,3,3,3,5,5,5,5,3,4,3,4,3,4,4,3,2,3,5,4,5,3,5,4,3,3,3,3
5,5,5,5,5,3,5,5,5,5,3,4,4,3,2,2,3,3,3,3,4,4,3,5,2,3,2,4
3,3,3,4,3,5,4,4,4,4,5,5,3,2,2,2,3,3,4,3,2,3,3,4,2,3,2,3
4,2,3,2,5,5,5,3,4,3,3,3,3,3,2,3,3,3,2,2,4,4,4,5,3,3,4,4
